09-21-2026 03:56:38 RAM 1362/7546MB (lfb 2x4MB) CPU [1%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.218C/50.562C soc2@49.656C/49.968C soc0@49.843C/50.156C gpu@50.656C/51.187C tj@50.656C/51.187C soc1@50.375C/50.656C VDD_IN 5528mW/5635mW/5725mW VDD_CPU_GPU_CV 1025mW/991mW/1025mW VDD_SOC 1500mW/1562mW/1579mW
09-21-2026 03:56:38 RAM 1364/7546MB (lfb 2x4MB) CPU [0%@1344,0%@1344,0%@1344,98%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.25C/50.562C soc2@49.625C/49.968C soc0@49.843C/50.156C gpu@50.718C/51.187C tj@50.718C/51.187C soc1@50.406C/50.656C VDD_IN 5449mW/5623mW/5725mW VDD_CPU_GPU_CV 1025mW/993mW/1025mW VDD_SOC 1500mW/1558mW/1579mW
09-21-2026 03:56:39 RAM 1363/7546MB (lfb 2x4MB) CPU [3%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.468C/50.562C soc2@49.718C/49.968C soc0@49.75C/50.156C gpu@50.687C/51.187C tj@50.687C/51.187C soc1@50.343C/50.656C VDD_IN 5488mW/5614mW/5725mW VDD_CPU_GPU_CV 1025mW/995mW/1025mW VDD_SOC 1500mW/1554mW/1579mW
09-21-2026 03:56:39 RAM 1456/7546MB (lfb 2x2MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@50.156C/50.562C soc2@49.593C/49.968C soc0@50C/50.156C gpu@50.625C/51.187C tj@50.656C/51.187C soc1@50.656C/50.656C VDD_IN 5607mW/5614mW/5725mW VDD_CPU_GPU_CV 1064mW/999mW/1064mW VDD_SOC 1500mW/1551mW/1579mW
09-21-2026 03:56:40 RAM 1529/7546MB (lfb 5x2MB) CPU [1%@1344,3%@1344,0%@1344,100%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@50.312C/50.562C soc2@49.75C/49.968C soc0@49.968C/50.156C gpu@51.156C/51.187C tj@51.156C/51.187C soc1@50.437C/50.656C VDD_IN 5804mW/5624mW/5804mW VDD_CPU_GPU_CV 1025mW/1001mW/1064mW VDD_SOC 1579mW/1553mW/1579mW
09-21-2026 03:56:40 RAM 1528/7546MB (lfb 5x2MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.031C/50.562C soc2@49.656C/49.968C soc0@49.875C/50.156C gpu@50.625C/51.187C tj@50.625C/51.187C soc1@50.406C/50.656C VDD_IN 5607mW/5623mW/5804mW VDD_CPU_GPU_CV 946mW/998mW/1064mW VDD_SOC 1540mW/1552mW/1579mW
09-21-2026 03:56:41 RAM 1536/7546MB (lfb 1x2MB) CPU [0%@1344,0%@1344,1%@1344,100%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@50.468C/50.562C soc2@49.687C/49.968C soc0@49.781C/50.156C gpu@51C/51.187C tj@51C/51.187C soc1@50.281C/50.656C VDD_IN 5646mW/5625mW/5804mW VDD_CPU_GPU_CV 985mW/997mW/1064mW VDD_SOC 1579mW/1553mW/1579mW
09-21-2026 03:56:41 RAM 1547/7546MB (lfb 39x2MB) CPU [0%@1344,1%@1344,0%@1344,100%@1344,3%@729,0%@729] GR3D_FREQ 0% cpu@50.218C/50.562C soc2@49.687C/49.968C soc0@49.75C/50.156C gpu@50.593C/51.187C tj@50.593C/51.187C soc1@50.312C/50.656C VDD_IN 5686mW/5627mW/5804mW VDD_CPU_GPU_CV 946mW/995mW/1064mW VDD_SOC 1579mW/1555mW/1579mW
09-21-2026 03:56:42 RAM 1547/7546MB (lfb 39x2MB) CPU [0%@1344,1%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.218C/50.562C soc2@49.593C/49.968C soc0@49.625C/50.156C gpu@51.093C/51.187C tj@51.093C/51.187C soc1@50.281C/50.656C VDD_IN 5607mW/5627mW/5804mW VDD_CPU_GPU_CV 946mW/993mW/1064mW VDD_SOC 1540mW/1554mW/1579mW
09-21-2026 03:56:42 RAM 1555/7546MB (lfb 35x2MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.062C/50.562C soc2@49.687C/49.968C soc0@49.843C/50.156C gpu@50.781C/51.187C tj@50.781C/51.187C soc1@50.406C/50.656C VDD_IN 5765mW/5633mW/5804mW VDD_CPU_GPU_CV 985mW/992mW/1064mW VDD_SOC 1579mW/1555mW/1579mW
