09-20-2026 04:41:48 RAM 770/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.312C soc2@45.062C/45.125C soc0@45C/45C gpu@45.593C/45.875C tj@45.593C/45.875C soc1@45.218C/45.406C VDD_IN 5409mW/5477mW/5655mW VDD_CPU_GPU_CV 1025mW/1025mW/1143mW VDD_SOC 1461mW/1479mW/1500mW
09-20-2026 04:41:48 RAM 770/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@45.187C/45.187C soc0@44.968C/45C gpu@45.437C/45.875C tj@45.437C/45.875C soc1@45.343C/45.406C VDD_IN 5379mW/5470mW/5655mW VDD_CPU_GPU_CV 1025mW/1025mW/1143mW VDD_SOC 1461mW/1478mW/1500mW
09-20-2026 04:41:49 RAM 770/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.031C/45.312C soc2@45.125C/45.187C soc0@44.875C/45C gpu@45.656C/45.875C tj@45.656C/45.875C soc1@45.343C/45.406C VDD_IN 5409mW/5466mW/5655mW VDD_CPU_GPU_CV 1025mW/1025mW/1143mW VDD_SOC 1461mW/1477mW/1500mW
09-20-2026 04:41:49 RAM 774/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,100%@1344,2%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.312C soc2@45.062C/45.187C soc0@44.812C/45C gpu@45.468C/45.875C tj@45.468C/45.875C soc1@45.343C/45.406C VDD_IN 5458mW/5466mW/5655mW VDD_CPU_GPU_CV 985mW/1022mW/1143mW VDD_SOC 1461mW/1476mW/1500mW
09-20-2026 04:41:50 RAM 773/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,100%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.375C/45.375C soc2@45.125C/45.187C soc0@44.937C/45C gpu@45.312C/45.875C tj@45.375C/45.875C soc1@45.343C/45.406C VDD_IN 5497mW/5467mW/5655mW VDD_CPU_GPU_CV 946mW/1018mW/1143mW VDD_SOC 1500mW/1477mW/1500mW
09-20-2026 04:41:50 RAM 521/7546MB (lfb 9x4MB) SWAP 0/2048MB (cached 0MB) CPU [18%@1344,39%@1344,36%@1344,6%@1344,5%@729,0%@729] GR3D_FREQ 0% cpu@45.218C/45.375C soc2@45.093C/45.187C soc0@45C/45C gpu@45.781C/45.875C tj@45.781C/45.875C soc1@45.468C/45.468C VDD_IN 5497mW/5469mW/5655mW VDD_CPU_GPU_CV 946mW/1014mW/1143mW VDD_SOC 1500mW/1478mW/1500mW
09-20-2026 04:41:51 RAM 558/7546MB (lfb 9x4MB) SWAP 0/2048MB (cached 0MB) CPU [14%@1344,17%@1344,78%@1344,24%@1344,12%@729,12%@729] GR3D_FREQ 0% cpu@45.406C/45.406C soc2@45.125C/45.187C soc0@44.937C/45C gpu@45.375C/45.875C tj@45.406C/45.875C soc1@45.406C/45.468C VDD_IN 5576mW/5475mW/5655mW VDD_CPU_GPU_CV 1025mW/1014mW/1143mW VDD_SOC 1500mW/1479mW/1500mW
09-20-2026 04:41:51 RAM 585/7546MB (lfb 7x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,2%@1344,94%@1344,3%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.625C soc2@45.125C/45.187C soc0@44.875C/45C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.343C/45.468C VDD_IN 5537mW/5478mW/5655mW VDD_CPU_GPU_CV 1025mW/1015mW/1143mW VDD_SOC 1500mW/1481mW/1500mW
09-20-2026 04:41:52 RAM 591/7546MB (lfb 5x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1113,1%@1113,100%@1113,0%@1113,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.625C soc2@45.031C/45.187C soc0@44.843C/45C gpu@45.531C/45.875C tj@45.625C/45.875C soc1@45.25C/45.468C VDD_IN 5576mW/5483mW/5655mW VDD_CPU_GPU_CV 947mW/1012mW/1143mW VDD_SOC 1540mW/1483mW/1540mW
09-20-2026 04:41:52 RAM 592/7546MB (lfb 5x4MB) SWAP 0/2048MB (cached 0MB) CPU [14%@1344,13%@1344,98%@1344,13%@1344,13%@729,14%@729] GR3D_FREQ 0% cpu@45.437C/45.625C soc2@45.156C/45.187C soc0@44.812C/45C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.375C/45.468C VDD_IN 5616mW/5489mW/5655mW VDD_CPU_GPU_CV 1066mW/1014mW/1143mW VDD_SOC 1500mW/1484mW/1540mW
