09-20-2026 06:09:47 RAM 1663/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.875C soc2@45.531C/45.562C soc0@45.156C/45.25C gpu@45.656C/46.031C tj@45.656C/46.062C soc1@45.625C/45.812C VDD_IN 5488mW/5460mW/5735mW VDD_CPU_GPU_CV 985mW/994mW/1222mW VDD_SOC 1500mW/1479mW/1500mW
09-20-2026 06:09:47 RAM 1696/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.75C/45.875C soc2@45.5C/45.562C soc0@45.156C/45.25C gpu@45.968C/46.031C tj@45.75C/46.062C soc1@45.531C/45.812C VDD_IN 5488mW/5462mW/5735mW VDD_CPU_GPU_CV 985mW/994mW/1222mW VDD_SOC 1500mW/1481mW/1500mW
09-20-2026 06:09:48 RAM 1711/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.875C soc2@45.468C/45.562C soc0@45.156C/45.25C gpu@45.625C/46.031C tj@45.625C/46.062C soc1@45.562C/45.812C VDD_IN 5449mW/5461mW/5735mW VDD_CPU_GPU_CV 985mW/993mW/1222mW VDD_SOC 1500mW/1482mW/1500mW
09-20-2026 06:09:48 RAM 1707/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.875C soc2@45.531C/45.562C soc0@45.343C/45.343C gpu@45.687C/46.031C tj@45.687C/46.062C soc1@45.656C/45.812C VDD_IN 5449mW/5460mW/5735mW VDD_CPU_GPU_CV 985mW/993mW/1222mW VDD_SOC 1500mW/1483mW/1500mW
09-20-2026 06:09:49 RAM 1711/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.875C soc2@45.468C/45.562C soc0@45.281C/45.343C gpu@46.187C/46.187C tj@46.187C/46.187C soc1@45.781C/45.812C VDD_IN 5488mW/5462mW/5735mW VDD_CPU_GPU_CV 985mW/992mW/1222mW VDD_SOC 1500mW/1484mW/1500mW
09-20-2026 06:09:49 RAM 1711/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,1%@1344,1%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@45.625C/45.875C soc2@45.562C/45.562C soc0@45.25C/45.343C gpu@45.906C/46.187C tj@45.906C/46.187C soc1@45.687C/45.812C VDD_IN 5488mW/5463mW/5735mW VDD_CPU_GPU_CV 1025mW/994mW/1222mW VDD_SOC 1500mW/1485mW/1500mW
09-20-2026 06:09:50 RAM 1711/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.5C/45.875C soc2@45.531C/45.562C soc0@45.187C/45.343C gpu@46.125C/46.187C tj@46.125C/46.187C soc1@45.593C/45.812C VDD_IN 5488mW/5465mW/5735mW VDD_CPU_GPU_CV 985mW/994mW/1222mW VDD_SOC 1500mW/1486mW/1500mW
09-20-2026 06:09:50 RAM 1716/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.593C/45.875C soc2@45.531C/45.562C soc0@45.156C/45.343C gpu@46.031C/46.187C tj@45.781C/46.187C soc1@45.656C/45.812C VDD_IN 5497mW/5466mW/5735mW VDD_CPU_GPU_CV 1025mW/995mW/1222mW VDD_SOC 1500mW/1486mW/1500mW
09-20-2026 06:09:51 RAM 1575/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [79%@1344,0%@1344,16%@1344,6%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.687C/45.875C soc2@45.531C/45.562C soc0@45.187C/45.343C gpu@46.125C/46.187C tj@46.125C/46.187C soc1@45.656C/45.812C VDD_IN 5488mW/5467mW/5735mW VDD_CPU_GPU_CV 985mW/995mW/1222mW VDD_SOC 1500mW/1487mW/1500mW
09-20-2026 06:09:51 RAM 1634/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.875C soc2@45.468C/45.562C soc0@45.218C/45.343C gpu@45.968C/46.187C tj@45.968C/46.187C soc1@45.625C/45.812C VDD_IN 5488mW/5468mW/5735mW VDD_CPU_GPU_CV 946mW/992mW/1222mW VDD_SOC 1500mW/1488mW/1500mW
