09-20-2026 06:01:26 RAM 1480/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [83%@1344,0%@1113,4%@1113,13%@1113,1%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.75C soc2@45.312C/45.406C soc0@45.062C/45.218C gpu@45.875C/46.093C tj@45.875C/46.093C soc1@45.593C/45.687C VDD_IN 5576mW/5504mW/5616mW VDD_CPU_GPU_CV 906mW/961mW/1025mW VDD_SOC 1540mW/1506mW/1540mW
09-20-2026 06:01:27 RAM 1494/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [17%@1344,79%@1344,14%@1344,33%@1344,14%@729,13%@729] GR3D_FREQ 0% cpu@45.406C/45.75C soc2@45.343C/45.406C soc0@44.968C/45.218C gpu@45.781C/46.093C tj@45.781C/46.093C soc1@45.593C/45.687C VDD_IN 5567mW/5508mW/5616mW VDD_CPU_GPU_CV 1025mW/966mW/1025mW VDD_SOC 1500mW/1506mW/1540mW
09-20-2026 06:01:27 RAM 1501/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [46%@729,4%@729,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.187C/45.406C soc0@45.25C/45.25C gpu@45.812C/46.093C tj@45.812C/46.093C soc1@45.687C/45.687C VDD_IN 5212mW/5489mW/5616mW VDD_CPU_GPU_CV 788mW/954mW/1025mW VDD_SOC 1500mW/1506mW/1540mW
09-20-2026 06:01:28 RAM 1501/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.75C soc2@45.375C/45.406C soc0@45.156C/45.25C gpu@45.625C/46.093C tj@45.625C/46.093C soc1@45.625C/45.687C VDD_IN 4817mW/5447mW/5616mW VDD_CPU_GPU_CV 551mW/929mW/1025mW VDD_SOC 1461mW/1503mW/1540mW
09-20-2026 06:01:28 RAM 1500/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.906C/45.75C soc2@45.281C/45.406C soc0@45.125C/45.25C gpu@45.531C/46.093C tj@45.562C/46.093C soc1@45.562C/45.687C VDD_IN 4699mW/5403mW/5616mW VDD_CPU_GPU_CV 473mW/902mW/1025mW VDD_SOC 1461mW/1500mW/1540mW
09-20-2026 06:01:29 RAM 1500/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.187C/45.406C soc0@45.125C/45.25C gpu@45.906C/46.093C tj@45.593C/46.093C soc1@45.437C/45.687C VDD_IN 4699mW/5364mW/5616mW VDD_CPU_GPU_CV 473mW/878mW/1025mW VDD_SOC 1461mW/1498mW/1540mW
09-20-2026 06:01:29 RAM 1500/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.75C soc2@45.125C/45.406C soc0@45.062C/45.25C gpu@45.406C/46.093C tj@45.531C/46.093C soc1@45.531C/45.687C VDD_IN 4699mW/5329mW/5616mW VDD_CPU_GPU_CV 473mW/857mW/1025mW VDD_SOC 1461mW/1496mW/1540mW
09-20-2026 06:01:30 RAM 1500/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.75C soc2@45.156C/45.406C soc0@45.156C/45.25C gpu@45.875C/46.093C tj@45.875C/46.093C soc1@45.75C/45.75C VDD_IN 4659mW/5295mW/5616mW VDD_CPU_GPU_CV 473mW/838mW/1025mW VDD_SOC 1461mW/1494mW/1540mW
09-20-2026 06:01:30 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [3%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.031C/45.75C soc2@45.187C/45.406C soc0@45.093C/45.25C gpu@45.656C/46.093C tj@45.656C/46.093C soc1@45.593C/45.75C VDD_IN 4659mW/5265mW/5616mW VDD_CPU_GPU_CV 473mW/820mW/1025mW VDD_SOC 1421mW/1491mW/1540mW
09-20-2026 06:01:31 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.187C/45.406C soc0@45.093C/45.25C gpu@45.843C/46.093C tj@45.843C/46.093C soc1@45.593C/45.75C VDD_IN 4659mW/5237mW/5616mW VDD_CPU_GPU_CV 473mW/804mW/1025mW VDD_SOC 1461mW/1490mW/1540mW
09-20-2026 06:01:31 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.75C soc2@45.218C/45.406C soc0@45C/45.25C gpu@45.75C/46.093C tj@45.75C/46.093C soc1@45.468C/45.75C VDD_IN 4659mW/5212mW/5616mW VDD_CPU_GPU_CV 473mW/790mW/1025mW VDD_SOC 1461mW/1488mW/1540mW
09-20-2026 06:01:32 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.75C soc2@45.156C/45.406C soc0@45.187C/45.25C gpu@45.562C/46.093C tj@45.562C/46.093C soc1@45.5C/45.75C VDD_IN 4659mW/5189mW/5616mW VDD_CPU_GPU_CV 473mW/777mW/1025mW VDD_SOC 1461mW/1487mW/1540mW
09-20-2026 06:01:32 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.125C/45.406C soc0@45.187C/45.25C gpu@45.562C/46.093C tj@45.75C/46.093C soc1@45.75C/45.75C VDD_IN 4699mW/5170mW/5616mW VDD_CPU_GPU_CV 473mW/765mW/1025mW VDD_SOC 1461mW/1486mW/1540mW
09-20-2026 06:01:33 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.906C/45.75C soc2@45.156C/45.406C soc0@45.125C/45.25C gpu@45.531C/46.093C tj@45.531C/46.093C soc1@45.5C/45.75C VDD_IN 4659mW/5150mW/5616mW VDD_CPU_GPU_CV 473mW/753mW/1025mW VDD_SOC 1461mW/1485mW/1540mW
09-20-2026 06:01:33 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [3%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/45.75C soc2@45.125C/45.406C soc0@45.031C/45.25C gpu@45.531C/46.093C tj@45.593C/46.093C soc1@45.531C/45.75C VDD_IN 4699mW/5133mW/5616mW VDD_CPU_GPU_CV 473mW/743mW/1025mW VDD_SOC 1461mW/1484mW/1540mW
09-20-2026 06:01:34 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/45.75C soc2@45.156C/45.406C soc0@45.031C/45.25C gpu@45.531C/46.093C tj@45.531C/46.093C soc1@45.5C/45.75C VDD_IN 4659mW/5116mW/5616mW VDD_CPU_GPU_CV 473mW/733mW/1025mW VDD_SOC 1461mW/1483mW/1540mW
09-20-2026 06:01:34 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.25C/45.406C soc0@45C/45.25C gpu@45.562C/46.093C tj@45.562C/46.093C soc1@45.531C/45.75C VDD_IN 4659mW/5100mW/5616mW VDD_CPU_GPU_CV 473mW/724mW/1025mW VDD_SOC 1461mW/1483mW/1540mW
09-20-2026 06:01:35 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.75C soc2@45.125C/45.406C soc0@45.031C/45.25C gpu@45.718C/46.093C tj@45.718C/46.093C soc1@45.468C/45.75C VDD_IN 4659mW/5086mW/5616mW VDD_CPU_GPU_CV 473mW/716mW/1025mW VDD_SOC 1461mW/1482mW/1540mW
09-20-2026 06:01:35 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@45.187C/45.75C soc2@45.125C/45.406C soc0@44.968C/45.25C gpu@45.656C/46.093C tj@45.875C/46.093C soc1@45.531C/45.75C VDD_IN 4699mW/5073mW/5616mW VDD_CPU_GPU_CV 473mW/708mW/1025mW VDD_SOC 1461mW/1481mW/1540mW
09-20-2026 06:01:36 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.75C soc2@45.093C/45.406C soc0@45.031C/45.25C gpu@45.718C/46.093C tj@45.5C/46.093C soc1@45.5C/45.75C VDD_IN 4659mW/5060mW/5616mW VDD_CPU_GPU_CV 473mW/701mW/1025mW VDD_SOC 1461mW/1481mW/1540mW
09-20-2026 06:01:36 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.125C/45.406C soc0@45.031C/45.25C gpu@45.875C/46.093C tj@45.531C/46.093C soc1@45.406C/45.75C VDD_IN 4659mW/5048mW/5616mW VDD_CPU_GPU_CV 473mW/694mW/1025mW VDD_SOC 1461mW/1480mW/1540mW
09-20-2026 06:01:37 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.156C/45.75C soc2@45.062C/45.406C soc0@45.25C/45.25C gpu@45.437C/46.093C tj@45.687C/46.093C soc1@45.375C/45.75C VDD_IN 4659mW/5037mW/5616mW VDD_CPU_GPU_CV 473mW/687mW/1025mW VDD_SOC 1461mW/1480mW/1540mW
09-20-2026 06:01:37 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/45.75C soc2@45.031C/45.406C soc0@45.156C/45.25C gpu@45.843C/46.093C tj@45.843C/46.093C soc1@45.531C/45.75C VDD_IN 4699mW/5027mW/5616mW VDD_CPU_GPU_CV 473mW/681mW/1025mW VDD_SOC 1421mW/1478mW/1540mW
09-20-2026 06:01:38 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.781C/45.75C soc2@45.125C/45.406C soc0@45.156C/45.25C gpu@45.593C/46.093C tj@45.5C/46.093C soc1@45.468C/45.75C VDD_IN 4659mW/5017mW/5616mW VDD_CPU_GPU_CV 473mW/676mW/1025mW VDD_SOC 1461mW/1477mW/1540mW
09-20-2026 06:01:38 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,1%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.125C/45.406C soc0@45C/45.25C gpu@45.875C/46.093C tj@45.875C/46.093C soc1@45.468C/45.75C VDD_IN 4659mW/5007mW/5616mW VDD_CPU_GPU_CV 473mW/670mW/1025mW VDD_SOC 1461mW/1477mW/1540mW
09-20-2026 06:01:39 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.75C soc2@45.125C/45.406C soc0@45.062C/45.25C gpu@45.625C/46.093C tj@45.625C/46.093C soc1@45.468C/45.75C VDD_IN 4659mW/4998mW/5616mW VDD_CPU_GPU_CV 473mW/665mW/1025mW VDD_SOC 1421mW/1475mW/1540mW
09-20-2026 06:01:39 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.968C/45.75C soc2@45.125C/45.406C soc0@44.968C/45.25C gpu@45.531C/46.093C tj@45.656C/46.093C soc1@45.656C/45.75C VDD_IN 4699mW/4990mW/5616mW VDD_CPU_GPU_CV 473mW/660mW/1025mW VDD_SOC 1461mW/1475mW/1540mW
09-20-2026 06:01:40 RAM 1499/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.75C soc2@45.218C/45.406C soc0@45.093C/45.25C gpu@45.625C/46.093C tj@45.656C/46.093C soc1@45.656C/45.75C VDD_IN 4659mW/4982mW/5616mW VDD_CPU_GPU_CV 473mW/655mW/1025mW VDD_SOC 1461mW/1475mW/1540mW
09-20-2026 06:01:40 RAM 1505/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [22%@1344,14%@1344,12%@1344,15%@1344,12%@729,13%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.187C/45.406C soc0@45.031C/45.25C gpu@45.593C/46.093C tj@45.593C/46.093C soc1@45.437C/45.75C VDD_IN 4975mW/4982mW/5616mW VDD_CPU_GPU_CV 670mW/656mW/1025mW VDD_SOC 1461mW/1474mW/1540mW
09-20-2026 06:01:41 RAM 1569/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [93%@1344,0%@1344,3%@1344,0%@1344,1%@1113,0%@1113] GR3D_FREQ 0% cpu@45.5C/45.75C soc2@45.187C/45.406C soc0@45.031C/45.25C gpu@45.593C/46.093C tj@45.593C/46.093C soc1@45.531C/45.75C VDD_IN 5330mW/4990mW/5616mW VDD_CPU_GPU_CV 867mW/661mW/1025mW VDD_SOC 1500mW/1475mW/1540mW
09-20-2026 06:01:41 RAM 1673/7546MB (lfb 56x4MB) SWAP 8/2048MB (cached 3MB) CPU [72%@1344,1%@1344,5%@1344,20%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.406C/45.75C soc2@45.218C/45.406C soc0@45C/45.25C gpu@45.937C/46.093C tj@45.937C/46.093C soc1@45.5C/45.75C VDD_IN 5449mW/5001mW/5616mW VDD_CPU_GPU_CV 946mW/667mW/1025mW VDD_SOC 1500mW/1476mW/1540mW
09-20-2026 06:01:42 RAM 1801/7546MB (lfb 54x4MB) SWAP 8/2048MB (cached 3MB) CPU [76%@729,2%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.75C soc2@45.187C/45.406C soc0@45.156C/45.25C gpu@45.468C/46.093C tj@45.468C/46.093C soc1@45.375C/45.75C VDD_IN 5330mW/5008mW/5616mW VDD_CPU_GPU_CV 867mW/672mW/1025mW VDD_SOC 1500mW/1476mW/1540mW
09-20-2026 06:01:42 RAM 1801/7546MB (lfb 54x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.75C soc2@45.187C/45.406C soc0@45.062C/45.25C gpu@45.781C/46.093C tj@45.781C/46.093C soc1@45.593C/45.75C VDD_IN 4857mW/5005mW/5616mW VDD_CPU_GPU_CV 591mW/670mW/1025mW VDD_SOC 1461mW/1476mW/1540mW
09-20-2026 06:01:43 RAM 1800/7546MB (lfb 54x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.875C/45.75C soc2@45.125C/45.406C soc0@45.125C/45.25C gpu@45.531C/46.093C tj@45.531C/46.093C soc1@45.468C/45.75C VDD_IN 4738mW/4999mW/5616mW VDD_CPU_GPU_CV 512mW/667mW/1025mW VDD_SOC 1461mW/1475mW/1540mW
09-20-2026 06:01:43 RAM 1800/7546MB (lfb 54x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.75C soc2@45.156C/45.406C soc0@45.031C/45.25C gpu@45.75C/46.093C tj@45.75C/46.093C soc1@45.562C/45.75C VDD_IN 4699mW/4993mW/5616mW VDD_CPU_GPU_CV 473mW/662mW/1025mW VDD_SOC 1421mW/1474mW/1540mW
09-20-2026 06:01:44 RAM 1800/7546MB (lfb 54x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.75C soc2@45.125C/45.406C soc0@44.968C/45.25C gpu@45.375C/46.093C tj@45.5C/46.093C soc1@45.5C/45.75C VDD_IN 4699mW/4987mW/5616mW VDD_CPU_GPU_CV 473mW/659mW/1025mW VDD_SOC 1461mW/1474mW/1540mW
09-20-2026 06:01:44 RAM 1800/7546MB (lfb 54x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.75C soc2@45.187C/45.406C soc0@44.968C/45.25C gpu@45.75C/46.093C tj@45.75C/46.093C soc1@45.406C/45.75C VDD_IN 4659mW/4980mW/5616mW VDD_CPU_GPU_CV 473mW/655mW/1025mW VDD_SOC 1421mW/1473mW/1540mW
