09-21-2026 04:01:31 RAM 1492/7546MB (lfb 32x4MB) CPU [1%@1344,0%@1344,90%@1344,4%@1344,6%@729,0%@729] GR3D_FREQ 0% cpu@49.093C/49.437C soc2@48.562C/48.75C soc0@48.656C/48.718C gpu@49.375C/49.75C tj@49.406C/49.75C soc1@49.218C/49.343C VDD_IN 5567mW/5564mW/5883mW VDD_CPU_GPU_CV 1064mW/1064mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:32 RAM 1530/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,1%@729,1%@729] GR3D_FREQ 0% cpu@49C/49.437C soc2@48.625C/48.75C soc0@48.593C/48.718C gpu@49.5C/49.75C tj@49.5C/49.75C soc1@49.218C/49.343C VDD_IN 5488mW/5559mW/5883mW VDD_CPU_GPU_CV 1025mW/1061mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:32 RAM 1544/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.062C/49.437C soc2@48.625C/48.75C soc0@48.531C/48.718C gpu@49.375C/49.75C tj@49.375C/49.75C soc1@49.062C/49.343C VDD_IN 5449mW/5552mW/5883mW VDD_CPU_GPU_CV 985mW/1057mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
09-21-2026 04:01:33 RAM 1575/7546MB (lfb 32x4MB) CPU [1%@1344,0%@1344,100%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@49.156C/49.437C soc2@48.5C/48.75C soc0@48.437C/48.718C gpu@49.281C/49.75C tj@49.281C/49.75C soc1@49.062C/49.343C VDD_IN 5488mW/5549mW/5883mW VDD_CPU_GPU_CV 985mW/1052mW/1300mW VDD_SOC 1500mW/1502mW/1540mW
09-21-2026 04:01:33 RAM 1559/7546MB (lfb 32x4MB) CPU [1%@1344,50%@1344,50%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49C/49.437C soc2@48.5C/48.75C soc0@48.718C/48.718C gpu@49.718C/49.75C tj@49.718C/49.75C soc1@49.25C/49.343C VDD_IN 5488mW/5545mW/5883mW VDD_CPU_GPU_CV 985mW/1049mW/1300mW VDD_SOC 1500mW/1502mW/1540mW
09-21-2026 04:01:34 RAM 1621/7546MB (lfb 32x4MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@48.781C/49.437C soc2@48.531C/48.75C soc0@48.687C/48.718C gpu@49.437C/49.75C tj@49.437C/49.75C soc1@49.218C/49.343C VDD_IN 5488mW/5542mW/5883mW VDD_CPU_GPU_CV 985mW/1045mW/1300mW VDD_SOC 1500mW/1502mW/1540mW
09-21-2026 04:01:34 RAM 1646/7546MB (lfb 32x4MB) CPU [0%@1344,100%@1344,0%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.75C/49.437C soc2@48.531C/48.75C soc0@48.562C/48.718C gpu@49.562C/49.75C tj@49.562C/49.75C soc1@49.031C/49.343C VDD_IN 5449mW/5538mW/5883mW VDD_CPU_GPU_CV 985mW/1042mW/1300mW VDD_SOC 1500mW/1502mW/1540mW
09-21-2026 04:01:35 RAM 1654/7546MB (lfb 32x4MB) CPU [5%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.031C/49.437C soc2@48.531C/48.75C soc0@48.531C/48.718C gpu@49.468C/49.75C tj@49.468C/49.75C soc1@49.062C/49.343C VDD_IN 5528mW/5537mW/5883mW VDD_CPU_GPU_CV 985mW/1040mW/1300mW VDD_SOC 1540mW/1504mW/1540mW
09-21-2026 04:01:35 RAM 1584/7546MB (lfb 32x4MB) CPU [0%@1344,98%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.187C/49.437C soc2@48.562C/48.75C soc0@48.468C/48.718C gpu@49.343C/49.75C tj@49.343C/49.75C soc1@49.031C/49.343C VDD_IN 5488mW/5535mW/5883mW VDD_CPU_GPU_CV 1025mW/1039mW/1300mW VDD_SOC 1500mW/1504mW/1540mW
09-21-2026 04:01:36 RAM 1591/7546MB (lfb 32x4MB) CPU [38%@1344,60%@1344,0%@1344,0%@1344,0%@729,3%@729] GR3D_FREQ 0% cpu@48.937C/49.437C soc2@48.562C/48.75C soc0@48.625C/48.718C gpu@49.468C/49.75C tj@49.468C/49.75C soc1@49.343C/49.343C VDD_IN 5488mW/5533mW/5883mW VDD_CPU_GPU_CV 1025mW/1038mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
